article_id,authors_txt,title,pmid,volume,issue,abstract,year,journal_name,impact_factor,first_author_extracted,last_author_extracted,primary_affiliation,country
3347,Rizki RM;Rizki TM,Cell interactions in the differentiation of a melanotic tumor in Drosophila.,111992,12,3,"The cellular events in the formation of melanotic tumors in the tu-W mutant larva of Drosophila melanogaster are described. The first step is the differentiation of spherical hemocytes to flattened cells, the lamellocyte variants. Subsequently, the surface of the caudal fat body undergoes changes to which the hemocytes respond by forming cellular capsules. The hemocytes utilize two mechanisms in this process: (1) phagocytosis of small particulate materials escaping from the adipose cells, (2) adhesion to form a multilayered wall of lamellocytes. Differentiating hemocytes in the vicinity of the tumor-forming site extrude membrane-bound vesicles that tend to adhere to the hemocyte surfaces. These vesicles are trapped between the lamellocytes as they pile in layers to form the capsule wall. It is suggested that the vesicles play a role in lamellocyte-to-lamellocyte adhesion during the initial stages of hemocyte aggregation at the tumor-forming site.",1979,Differentiation; research in biological diversity,3.39,Rizki RM,Rizki TM,,
1987,Leulier F;Lhocine N;Lemaitre B;Meier P,The Drosophila inhibitor of apoptosis protein DIAP2 functions in innate immunity and is essential to resist gram-negative bacterial infection.,16894030,26,21,"The founding member of the inhibitor of apoptosis protein (IAP) family was originally identified as a cell death inhibitor. However, recent evidence suggests that IAPs are multifunctional signaling devices that influence diverse biological processes. To investigate the in vivo function of Drosophila melanogaster IAP2, we have generated diap2 null alleles. diap2 mutant animals develop normally and are fully viable, suggesting that diap2 is dispensable for proper development. However, these animals were acutely sensitive to infection by gram-negative bacteria. In Drosophila, infection by gram-negative bacteria triggers the innate immune response by activating the immune deficiency (imd) signaling cascade, a NF-kappaB-dependent pathway that shares striking similarities with the pathway of mammalian tumor necrosis factor receptor 1 (TNFR1). diap2 mutant flies failed to activate NF-kappaB-mediated expression of antibacterial peptide genes and, consequently, rapidly succumbed to bacterial infection. Our genetic epistasis analysis places diap2 downstream of or in parallel to imd, Dredd, Tak1, and Relish. Therefore, DIAP2 functions in the host immune response to gram-negative bacteria. In contrast, we find that the Drosophila TNFR-associated factor (Traf) family member Traf2 is dispensable in resistance to gram-negative bacterial infection. Taken together, our genetic data identify DIAP2 as an essential component of the Imd signaling cascade, protecting the organism from infiltrating microbes.",2006,Molecular and cellular biology,5.3,Leulier F,Meier P,"The Breakthrough Toby Robins Breast Cancer Research Centre, Institute of Cancer Research, London SW3 6JB, UK. francois.leulier@icr.ac.uk",UK
2761,Kim YS;Han SJ;Ryu JH;Choi KH;Hong YS;Chung YH;Perrot S;Raibaud A;Brey PT;Lee WJ,"Lipopolysaccharide-activated kinase, an essential component for the induction of the antimicrobial peptide genes in Drosophila melanogaster cells.",10636911,275,3,"Eukaryotic organisms use a similar Rel/NF-kappaB signaling cascade for the induction of innate immune genes. In Drosophila, lipopolysaccharide (LPS) signal-induced activation of the Rel/NF-kappaB family transcription factors is an essential step in the transcriptional activation of inducible antimicrobial peptide genes. However, the mechanism by which the LPS-induced signaling pathway proceeds remains largely unknown. Here we have cloned a novel Drosophila LPS-activated kinase (DLAK) that is structurally related to mammalian IkappaB kinases. DLAK is expressed and transiently activated in LPS-responsive Drosophila cells following LPS stimulation. Furthermore, DLAK can interact with Cactus, a Drosophila IkappaB and phosphorylate recombinant Cactus, in vitro. Overexpression of dominant-negative mutant DLAK (DLAK(K50A)) blocks LPS-induced Cactus degradation. DLAK-bound Cactus can be degraded in a LPS signal-dependent fashion, whereas the DLAK(K50A) mutant-bound Cactus is completely resistant to degradation in the presence of LPS. The DLAK(K50A) mutant also inhibits nuclear kappaB binding activity and kappaB-dependent diptericin reporter gene activity in a dose-dependent manner, but the kappaB-dependent diptericin reporter gene activity can be rescued by overexpression of wild type DLAK. Moreover, mRNA analysis of various kappaB-dependent antimicrobial peptide genes shows that LPS inducibility of these genes is greatly impaired in cells overexpressing DLAK(K50A). These results establish that DLAK is a novel LPS-activated kinase, which is an essential signaling component for the induction of antimicrobial peptide genes following LPS treatment in Drosophila cells.",2000,The Journal of biological chemistry,4.8,Kim YS,Lee WJ,"Laboratory of Immunology, Medical Research Center, College of Medicine, Yonsei University, Shinchon-Dong 134, Seoul, South Korea.",South Korea
2649,Tingvall TO;Roos E;Engström Y,The GATA factor Serpent is required for the onset of the humoral immune response in Drosophila embryos.,11274409,98,7,"Innate immunity in Drosophila is characterized by the inducible expression of antimicrobial peptides. We have investigated the development and regulation of immune responsiveness in Drosophila embryos after infection. Immune competence, as monitored by the induction of Cecropin A1-lacZ constructs, was observed first in the embryonic yolk. This observation suggests that the yolk plays an important role in the humoral immune response of the developing embryo by synthesizing antimicrobial peptides. Around midembryogenesis, the response in the yolk was diminished. Simultaneously, Cecropin expression became inducible in a large number of cells in the epidermis, demonstrating that late-stage embryos can synthesize their own antibiotics in the epidermis. This production likely serves to provide the hatching larva with an active antimicrobial barrier and protection against systemic infections. Cecropin expression in the yolk required the presence of a GATA site in the promoter as well as the involvement of the GATA-binding transcription factor Serpent (dGATAb). In contrast, neither the GATA site nor Serpent were necessary for Cecropin expression in the epidermis. Thus, the inducible immune responses in the yolk and in the epidermis can be uncoupled and call for distinct sets of transcription factors. Our data suggest that Serpent is involved in the distinction between a systemic response in the yolk/fat body and a local immune response in epithelial cells. In addition, the present study shows that signal transduction pathways controlling innate and epithelial defense reactions can be dissected genetically in Drosophila embryos.",2001,Proceedings of the National Academy of Sciences of the United States of America,11.1,Tingvall TO,Engström Y,"Department of Molecular Biology and Functional Genomics, Arrhenius Laboratories for Natural Sciences, Stockholm University, S-106 91 Stockholm, Sweden.",Sweden
3441,Bhaskar V;Valentine SA;Courey AJ,A functional interaction between dorsal and components of the Smt3 conjugation machinery.,10660560,275,6,"To identify proteins that regulate the function of Dorsal, a Drosophila Rel family transcription factor, we employed a yeast two-hybrid screen to search for genes encoding Dorsal-interacting proteins. Six genes were identified, including two that encode previously known Dorsal-interacting proteins (Twist and Cactus), three that encode novel proteins, and one that encodes Drosophila Ubc9 (DmUbc9), a protein thought to conjugate the ubiquitin-like polypeptide Smt3 to protein substrates. We have found that DmUbc9 binds and conjugates Drosophila Smt3 (DmSmt3) to Dorsal. In cultured cells, DmUbc9 was found to relieve inhibition of Dorsal nuclear uptake by Cactus, allowing Dorsal to enter the nucleus and activate transcription. The effect of DmUbc9 on Dorsal activity was potentiated by the overexpression of DmSmt3. We have also identified a DmSmt3-activating enzyme, DmSAE1/DmSAE2 and found that it further potentiates Dorsal-mediated activation.",2000,The Journal of biological chemistry,4.8,Bhaskar V,Courey AJ,"Department of Chemistry and Biochemistry, University of California, Los Angeles, California 90095-1569, USA.",USA
1995,Wang L;Weber AN;Atilano ML;Filipe SR;Gay NJ;Ligoxygakis P,Sensing of Gram-positive bacteria in Drosophila: GNBP1 is needed to process and present peptidoglycan to PGRP-SA.,17024181,25,20,"Genetic evidence indicates that Drosophila defense against Gram-positive bacteria is mediated by two putative pattern recognition receptors acting upstream of Toll, namely Gram-negative binding protein 1 (GNBP1) and peptidoglycan recognition protein SA (PGRP-SA). Until now however, the molecular recognition proceedings for sensing of Gram-positive pathogens were not known. In the present, we report the physical interaction between GNBP1 and PGRP-SA using recombinant proteins. GNBP1 was able to hydrolyze Gram-positive peptidoglycan (PG), while PGRP-SA bound highly purified PG fragments (muropeptides). Interaction between these proteins was enhanced in the presence of PG or muropeptides. PGRP-SA binding depended on the polymerization status of the muropeptides, pointing to constraints in the number of PGRP-SA molecules bound for signaling initiation. We propose a model whereby GNBP1 presents a processed form of PG for sensing by PGRP-SA and that a tripartite interaction between these proteins and PG is essential for downstream signaling.",2006,The EMBO journal,11.4,Wang L,Ligoxygakis P,"Genetics Unit, Department of Biochemistry, University of Oxford, Oxford, UK.",UK
3047,Georgel P;Meister M;Kappler C;Lemaitre B;Reichhart JM;Hoffmann JA,Insect immunity: the diptericin promoter contains multiple functional regulatory sequences homologous to mammalian acute-phase response elements.,7505569,197,2,"We are using the diptericin gene as a model system to study the control of expression of the genes encoding antibacterial peptides during the Drosophila immune reaction. In order to investigate the putative regulatory regions in the diptericin promoter, we performed DNaseI footprinting experiments combined with gel-shift assays in two inducible systems: the larval fat body and a tumorous Drosophila blood cell line. Our results confirm the importance of kappa B-like elements previously described in the immune response of insects and reveal for the first time the involvement of other regions containing sequences homologous to mammalian acute-phase response elements.",1993,Biochemical and biophysical research communications,3.1,Georgel P,Hoffmann JA,"Laboratoire de Biologie Générale, Bases Cellulaires et Moléculaires de la Réponse Immunitaire des Insectes, UA CNRS 1490, Strasbourg, France.",France
1928,Wu J;Randle KE;Wu LP,ird1 is a Vps15 homologue important for antibacterial immune responses in Drosophila.,17166233,9,4,"The immune response-deficient 1 (ird1) gene was identified in a forward genetic screen as a novel regulator for the activation of Imd NFkappaB immune signalling pathway in Drosophila. ird1 animals are also more susceptible to Escherichia coli and Micrococcus luteus bacterial infection. ird1 encodes the Drosophila homologue of the Vps15/p150 serine/threonine kinase that regulates a class III phosphoinositide 3-kinase and is necessary for phagosome maturation and starvation-induced autophagy in yeast and mammalian cells. To gain insight into the role of ird1 in the immune response, we examine how amino acid starvation affects the immune signalling pathways in Drosophila. Starvation, in the absence of infection, leads to expression of antimicrobial peptide (AMP) genes and this response is dependent on ird1 and the Imd immune signalling pathway. Starvation, in addition to bacterial infection, suppresses the AMP response in wild-type animals and reduces the ability to survive M. luteus infection. Our results suggest that starvation and innate immune signalling may be intimately linked processes.",2007,Cellular microbiology,3.4,Wu J,Wu LP,"Center for Biosystems Research, University of Maryland Biotechnology Institute, 5115 Plant Sciences Bldg., College Park, MD 20742, USA.",USA
1902,Taylor K;Kimbrell DA,Host immune response and differential survival of the sexes in Drosophila.,18820477,1,4,"Innate immunity is essential for the survival of organisms across the evolutionary spectrum. Drosophila is well studied as a model of innate immunity and has been instrumental in establishing principles of defense and gene signaling pathways that are shared with humans. Previous studies in Drosophila have not focused on differences between the sexes, and in this report we present evidence that it is essential to include differences between the sexes. Survival rates post-infection, after a fungal or bacterial infection, varied according to the combination of signaling pathway (Toll and Imd) and sex tested. We also found that antimicrobial protein gene mRNA levels for Drosomycin and Metchnikowin showed both similarities and differences between the sexes. These studies highlight the need to include both sexes in studies of immune function as well as the associated opportunities for advancing our understanding of immunity.",2007,Fly,1.2,Taylor K,Kimbrell DA,"Section of Molecular and Cellular Biology, University of California at Davis, Davis, California 95616, USA. dakimbrell@ucdavis.edu",USA
3457,Gateff E;Schneiderman HA,Neoplasms in mutant and cultured wild-tupe tissues of Drosophila.,5374686,31,,,1969,National Cancer Institute monograph,10.3,Gateff E,Schneiderman HA,,
