author_id,article_id,name,leading_author,first_author,career_stage,expertise_level,author_key
2,2053,Brun S,False,True,Post-doc,Experienced,brun s
3,2053,Lemaitre B,True,False,Junior PI,Experienced,lemaitre b
1,1650,Charroux B,False,True,Post-doc,Experienced,charroux b
97,2149,Söderhäll K,True,False,Senior PI,Experienced,soderhall k
5,2278,Silverman N,False,True,Post-doc,Newcomer,silverman n
6,2278,Maniatis T,True,False,Senior PI,Newcomer,maniatis t
7,3437,Basset A,False,True,PhD,Experienced,basset a
8,3437,Lemaitre B,True,False,Junior PI,Experienced,lemaitre b
9,3048,Levine M,True,False,Senior PI,Newcomer,levine m
11,3096,Reichhart JM,False,True,Senior PI,Experienced,reichhart jm
12,3096,Hoffmann JA,True,False,Senior PI,Experienced,hoffmann ja
13,2634,Ekengren S,False,True,PhD,Experienced,ekengren s
14,2634,Hultmark D,True,False,Senior PI,Experienced,hultmark d
15,2801,Manfruelli P,False,True,Post-doc,Experienced,manfruelli p
16,2801,Lemaitre B,True,False,Junior PI,Experienced,lemaitre b
17,2297,Agaisse H,False,True,Post-doc,Experienced,agaisse h
18,2297,Perrimon N,True,False,Senior PI,Experienced,perrimon n
19,2451,De Gregorio E,False,True,Post-doc,Experienced,de gregorio e
21,3015,Meister M,False,True,Post-doc,Experienced,meister m
22,3015,Hoffmann JA,True,False,Senior PI,Experienced,hoffmann ja
23,2905,Dimarcq JL,False,True,Post-doc,Experienced,dimarcq jl
25,2942,Charlet M,False,True,Post-doc,Experienced,charlet m
28,3148,Hultmark D,True,False,Senior PI,Experienced,hultmark d
27,3148,Samakovlis C,False,True,Post-doc,Experienced,samakovlis c
29,2699,Silverman N,False,True,Post-doc,Experienced,silverman n
31,2577,Michel T,False,True,PhD,Experienced,michel t
32,2577,Royet J,True,False,Senior PI,Experienced,royet j
33,3444,Corbo JC,False,True,PhD,Newcomer,corbo jc
34,3444,Levine M,True,False,Senior PI,Experienced,levine m
35,2617,Vidal S,False,True,PhD,Experienced,vidal s
36,2617,Lemaitre B,True,False,Junior PI,Experienced,lemaitre b
38,2832,Meister M,True,False,Senior PI,Experienced,meister m
39,2904,Braun A,False,True,PhD,Experienced,braun a
42,3069,Kappler C,False,True,Engineer / Technician,Experienced,kappler c
43,2593,Georgel P,False,True,Post-doc,Experienced,georgel p
44,2593,Hoffmann JA,True,False,Senior PI,Experienced,hoffmann ja
45,1964,Valanne S,False,True,PhD,Experienced,valanne s
46,1964,Rämet M,True,False,Senior PI,Experienced,ramet m
47,1976,Gottar M,False,True,PhD,Experienced,gottar m
49,2191,Takehana A,False,True,PhD,Experienced,takehana a
50,2191,Kurata S,True,False,Junior PI,Experienced,kurata s
51,2517,Choe KM,False,True,PhD,Newcomer,choe km
53,2426,Boutros M,False,True,Post-doc,Newcomer,boutros m
55,2869,Nicolas E,False,True,PhD,Experienced,nicolas e
56,2869,Lemaitre B,True,False,Junior PI,Experienced,lemaitre b
57,3052,Reichhart JM,False,True,Senior PI,Experienced,reichhart jm
58,3052,Hoffmann JA,True,False,Senior PI,Experienced,hoffmann ja
59,2073,Jang IH,False,True,Junior PI,Experienced,jang ih
61,3453,Uv AE,False,True,Post-doc,Experienced,uv ae
65,2243,Silverman N,True,False,Junior PI,Experienced,silverman n
67,2031,Silverman N,True,False,Junior PI,Experienced,silverman n
68,2049,Zhuang ZH,False,True,PhD,Newcomer,zhuang zh
69,2049,Ge BX,True,False,Junior PI,Newcomer,ge bx
70,2239,Hedengren-Olcott M,False,True,Post-doc,Experienced,hedengren-olcott m
72,2874,Wu LP,False,True,Post-doc,Newcomer,wu lp
